HPSO,Stations,Time [%],Tobs [h],Ingest [Pflop/s],RCAL [Pflop/s],FastImg [Pflop/s],ICAL [Pflop/s],DPrepA [Pflop/s],DPrepB [Pflop/s],DPrepC [Pflop/s],DPrepD [Pflop/s],Total RT [Pflop/s],Total Batch [Pflop/s],Total [Pflop/s],Ingest Rate [TB/s]
hpso04b,197.0,1.0471204188481675,0.16666666666666666,0.60,0.94,0.36,-,-,-,-,-,1.9078380450266765,0.0005008799999999258,1.9083389250266765,0.4382223798857142
hpso04c,197.0,3.1413612565445024,0.16666666666666666,0.60,0.56,0.23,-,-,-,-,-,1.3934445926936379,0.0005008799999999258,1.3939454726936378,0.4382223798857142
hpso05b,197.0,2.094240837696335,0.25,0.60,0.95,0.55,-,-,-,-,-,2.11199263478441,2.755000001464225e-07,2.11199291028441,0.4382223798857142
hpso13,197.0,6.544502617801047,8.0,0.14,0.04,0.02,0.40,0.14,0.13,0.48,-,0.20147255168114095,1.1588758958681291,1.36034844754927,0.09837798677587244
hpso14,197.0,2.6178010471204187,8.0,0.15,0.03,0.01,0.15,0.09,0.09,0.31,-,0.19420089080019945,0.6309361569906021,0.8251370477908015,0.11107894713422155
hpso15,197.0,16.49214659685864,4.4,0.08,0.01,0.00,0.04,0.03,0.03,0.09,-,0.0952134779528595,0.18855194179498946,0.28376541974784897,0.06024677662654017
hpso18,197.0,13.089005235602095,0.016666666666666666,0.60,0.94,0.36,-,-,-,-,-,1.9078380450266765,3.999999999892978e-06,1.9078420450266764,0.4382223798857142
hpso22,197.0,7.853403141361256,8.0,0.60,0.75,0.38,6.80,2.99,3.08,-,-,1.7407983588686002,12.875255178310022,14.616053537178622,0.4382223798857142
hpso27and33,197.0,13.089005235602095,0.12333333333333334,0.19,0.09,0.05,0.26,0.31,0.47,-,-,0.3300727884308615,1.0359089967606345,1.365981785191496,0.13999673873947366
hpso32,197.0,13.089005235602095,2.2,0.12,0.09,0.04,0.24,-,0.29,-,-,0.25076228243327797,0.5270013986629722,0.7777636810962502,0.08765297707397612
hpso37a,197.0,13.089005235602095,3.8,0.60,0.88,0.39,5.44,3.43,3.57,-,-,1.8808705828896144,12.449879944384865,14.330750527274478,0.4377841114077892
hpso37b,197.0,2.6178010471204187,8.0,0.60,0.88,0.39,7.96,3.43,3.57,-,-,1.8808705828896144,14.960318369245591,16.841188952135205,0.4377841114077892
hpso37c,197.0,2.6178010471204187,8.0,0.60,0.88,0.39,7.96,3.43,3.57,-,-,1.8808705828896144,14.960318369245591,16.841188952135205,0.4377841114077892
hpso38a,197.0,1.3089005235602094,8.0,0.60,0.77,0.43,5.24,3.38,3.50,-,-,1.7997894892345552,12.120445928820512,13.920235418055068,0.4382223798857142
hpso38b,197.0,1.3089005235602094,8.0,0.60,0.77,0.43,6.93,3.38,3.50,-,-,1.7997894892345552,13.80523467779549,15.605024167030045,0.4382223798857142
